"section","order","details_html"
"2012",7,"<details>
    <summary> [Historical genomics of North American maize](https://doi.org/10.1073/pnas.1209275109)
 Joost van Heerwaarden, Matthew B. Hufford, **Jeffrey Ross-Ibarra**

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Since the advent of modern plant breeding in the 1930s, North American maize has undergone a dramatic adaptation to high-input agriculture. Despite the importance of genetic contributions to historical yield increases, little is known about the underlying genomic changes. Here we use high-density SNP genotyping to characterize a set of North American maize lines spanning the history of modern breeding. We provide a unique analysis of genome-wide developments in genetic diversity, ancestry, and selection. The genomic history of maize is marked by a steady increase in genetic differentiation and linkage disequilibrium, whereas allele frequencies in the total population have remained relatively constant. These changes are associated with increasing genetic separation of breeding pools and decreased diversity in the ancestry of individual lines. We confirm that modern heterotic groups are the product of ongoing divergence from a relatively homogeneous landrace population, but show that differential landrace ancestry remains evident. Using a recent association approach, we characterize signals of directional selection throughout the genome, identifying a number of candidate genes of potential agronomic relevance. However, overall we find that selection has had limited impact on genome-wide patterns of diversity and ancestry, with little evidence for individual lines contributing disproportionately to the accumulation of favorable alleles in today's elite germplasm. Our data suggest breeding progress has mainly involved selection and recombination of relatively common alleles, contributed by a representative but limited set of ancestral lines.
 </p></details><p></p>"
"2012",8,"<details>
    <summary> [Reshaping of the maize transcriptome by domestication](https://doi.org/10.1073/pnas.1201961109)
 Ruth Swanson-Wagner, Roman Briskine, Robert Schaefer, Matthew B. Hufford, **Jeffrey Ross-Ibarra**, Chad L. Myers, Peter Tiffin, Nathan M. Springer

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Through domestication, humans have substantially altered the morphology of Zea mays ssp. parviglumis (teosinte) into the currently recognizable maize. This system serves as a model for studying adaptation, genome evolution, and the genetics and evolution of complex traits. To examine how domestication has reshaped the transcriptome of maize seedlings, we used expression profiling of 18,242 genes for 38 diverse maize genotypes and 24 teosinte genotypes. We detected evidence for more than 600 genes having significantly different expression levels in maize compared with teosinte. Moreover, more than 1,100 genes showed significantly altered coexpression profiles, reflective of substantial rewiring of the transcriptome since domestication. The genes with altered expression show a significant enrichment for genes previously identified through population genetic analyses as likely targets of selection during maize domestication and improvement; 46 genes previously identified as putative targets of selection also exhibit altered expression levels and coexpression relationships. We also identified 45 genes with altered, primarily higher, expression in inbred relative to outcrossed teosinte. These genes are enriched for functions related to biotic stress and may reflect responses to the effects of inbreeding. This study not only documents alterations in the maize transcriptome following domestication, identifying several genes that may have contributed to the evolution of maize, but highlights the complementary information that can be gained by combining gene expression with population genetic analyses.
 </p></details><p></p>"
"2012",9,"<details>
    <summary> [Comparative population genomics of maize domestication and improvement](https://doi.org/10.1038/ng.2309)
 Matthew B Hufford, Xun Xu, Joost van Heerwaarden, Tanja Pyhäjärvi, ...[17 authors]..., Doreen Ware, Edward S Buckler, Shuang Yang, **Jeffrey Ross-Ibarra**

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract unavailable.
 </p></details><p></p>"
"2012",10,"<details>
    <summary> [Maize HapMap2 identifies extant variation from a genome in flux](https://doi.org/10.1038/ng.2313)
 Jer-Ming Chia, Chi Song, Peter J Bradbury, Denise Costich, ...[30 authors]..., Edward S Buckler, Gengyun Zhang, Yunbi Xu, Doreen Ware

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract unavailable.
 </p></details><p></p>"
"2012",11,"<details>
    <summary> [Megabase-Scale Inversion Polymorphism in the Wild Ancestor of Maize](https://doi.org/10.1534/genetics.112.138578)
 Zhou Fang, Tanja Pyhäjärvi, Allison L Weber, R Kelly Dawe, ...[2 authors]..., **Claudia Ross-Ibarra**, John Doebley, Peter L Morrell, **Jeffrey Ross-Ibarra**

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract Chromosomal inversions are thought to play a special role in local adaptation, through dramatic suppression of recombination, which favors the maintenance of locally adapted alleles. However, relatively few inversions have been characterized in population genomic data. On the basis of single-nucleotide polymorphism (SNP) genotyping across a large panel of Zea mays, we have identified an ∼50-Mb region on the short arm of chromosome 1 where patterns of polymorphism are highly consistent with a polymorphic paracentric inversion that captures &amp;gt;700 genes. Comparison to other taxa in Zea and Tripsacum suggests that the derived, inverted state is present only in the wild Z. mays subspecies parviglumis and mexicana and is completely absent in domesticated maize. Patterns of polymorphism suggest that the inversion is ancient and geographically widespread in parviglumis. Cytological screens find little evidence for inversion loops, suggesting that inversion heterozygotes may suffer few crossover-induced fitness consequences. The inversion polymorphism shows evidence of adaptive evolution, including a strong altitudinal cline, a statistical association with environmental variables and phenotypic traits, and a skewed haplotype frequency spectrum for inverted alleles.
 </p></details><p></p>"
"2011",6,"<details>
    <summary> [Crop genomics: advances and applications](https://doi.org/10.1038/nrg3097)
 Peter L. Morrell, Edward S. Buckler, **Jeffrey Ross-Ibarra**

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract unavailable.
 </p></details><p></p>"
"2011",7,"<details>
    <summary> [Identification of a functional transposon insertion in the maize domestication gene tb1](https://doi.org/10.1038/ng.942)
 Anthony Studer, Qiong Zhao, **Jeffrey Ross-Ibarra**, John Doebley

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract unavailable.
 </p></details><p></p>"
"2011",8,"<details>
    <summary> [Genetic Architecture of Maize Kernel Composition in the Nested Association Mapping and Inbred Association Panels  ](https://doi.org/10.1104/pp.111.185033)
 Jason P. Cook, Michael D. McMullen, James B. Holland, Feng Tian, Peter Bradbury, **Jeffrey Ross-Ibarra**, Edward S. Buckler, Sherry A. Flint-Garcia

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract The maize (Zea mays) kernel plays a critical role in feeding humans and livestock around the world and in a wide array of industrial applications. An understanding of the regulation of kernel starch, protein, and oil is needed in order to manipulate composition to meet future needs. We conducted joint-linkage quantitative trait locus mapping and genome-wide association studies (GWAS) for kernel starch, protein, and oil in the maize nested association mapping population, composed of 25 recombinant inbred line families derived from diverse inbred lines. Joint-linkage mapping revealed that the genetic architecture of kernel composition traits is controlled by 21–26 quantitative trait loci. Numerous GWAS associations were detected, including several oil and starch associations in acyl-CoA:diacylglycerol acyltransferase1-2, a gene that regulates oil composition and quantity. Results from nested association mapping were verified in a 282 inbred association panel using both GWAS and candidate gene association approaches. We identified many beneficial alleles that will be useful for improving kernel starch, protein, and oil content.
 </p></details><p></p>"
"2011",9,"<details>
    <summary> [Genome Size and Transposable Element Content as Determined by High-Throughput Sequencing in Maize and Zea luxurians](https://doi.org/10.1093/gbe/evr008)
 Maud I. Tenaillon, Matthew B. Hufford, Brandon S. Gaut, **Jeffrey Ross-Ibarra**

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract unavailable.
 </p></details><p></p>"
"2010",6,"<details>
    <summary> [Widespread Gene Conversion in Centromere Cores](https://doi.org/10.1371/journal.pbio.1000327)
 Jinghua Shi, Sarah E. Wolf, John M. Burke, Gernot G. Presting, **Jeffrey Ross-Ibarra**, R. Kelly Dawe

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract unavailable.
 </p></details><p></p>"
"2010",7,"<details>
    <summary> [Influence of cryptic population structure on observed mating patterns in the wild progenitor of maize (Zea mays ssp. parviglumis)](https://doi.org/10.1111/j.1365-294X.2010.04924.x)
 MATTHEW B. HUFFORD, PAUL GEPTS, JEFFREY ROSS-IBARRA

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract unavailable.
 </p></details><p></p>"
"2010",8,"<details>
    <summary> [Patterns of Population Structure and Environmental Associations to Aridity Across the Range of Loblolly Pine ( Pinus taeda L., Pinaceae)](https://doi.org/10.1534/genetics.110.115543)
 Andrew J Eckert, Joost van Heerwaarden, Jill L Wegrzyn, C Dana Nelson, **Jeffrey Ross-Ibarra**, Santíago C González-Martínez, David B Neale

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract Natural populations of forest trees exhibit striking phenotypic adaptations to diverse environmental gradients, thereby making them appealing subjects for the study of genes underlying ecologically relevant phenotypes. Here, we use a genome-wide data set of single nucleotide polymorphisms genotyped across 3059 functional genes to study patterns of population structure and identify loci associated with aridity across the natural range of loblolly pine (Pinus taeda L.). Overall patterns of population structure, as inferred using principal components and Bayesian cluster analyses, were consistent with three genetic clusters likely resulting from expansions out of Pleistocene refugia located in Mexico and Florida. A novel application of association analysis, which removes the confounding effects of shared ancestry on correlations between genetic and environmental variation, identified five loci correlated with aridity. These loci were primarily involved with abiotic stress response to temperature and drought. A unique set of 24 loci was identified as FST outliers on the basis of the genetic clusters identified previously and after accounting for expansions out of Pleistocene refugia. These loci were involved with a diversity of physiological processes. Identification of nonoverlapping sets of loci highlights the fundamental differences implicit in the use of either method and suggests a pluralistic, yet complementary, approach to the identification of genes underlying ecologically relevant phenotypes.
 </p></details><p></p>"
"2010",9,"<details>
    <summary> [A ROLE FOR NONADAPTIVE PROCESSES IN PLANT GENOME SIZE EVOLUTION?](https://doi.org/10.1111/j.1558-5646.2010.00967.x)
 Kenneth D. Whitney, Eric J. Baack, James L. Hamrick, Mary Jo W. Godt, ...[3 authors]..., Carol Goodwillie, Susan Kalisz, Ilia J. Leitch, **Jeffrey Ross-Ibarra**

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract unavailable.
 </p></details><p></p>"
"2010",10,"<details>
    <summary> [Genetic signals of origin, spread, and introgression in a large sample of maize landraces](https://doi.org/10.1073/pnas.1013011108)
 Joost van Heerwaarden, John Doebley, William H. Briggs, Jeffrey C. Glaubitz, Major M. Goodman, Jose de Jesus Sanchez Gonzalez, **Jeffrey Ross-Ibarra**

 </summary>  
    <p style=""""margin-left: 30px""""> 
 The last two decades have seen important advances in our knowledge of maize domestication, thanks in part to the contributions of genetic data. Genetic studies have provided firm evidence that maize was domesticated from Balsas teosinte ( Zea mays subspecies parviglumis ), a wild relative that is endemic to the mid- to lowland regions of southwestern Mexico. An interesting paradox remains, however: Maize cultivars that are most closely related to Balsas teosinte are found mainly in the Mexican highlands where subspecies parviglumis does not grow. Genetic data thus point to primary diffusion of domesticated maize from the highlands rather than from the region of initial domestication. Recent archeological evidence for early lowland cultivation has been consistent with the genetics of domestication, leaving the issue of the ancestral position of highland maize unresolved. We used a new SNP dataset scored in a large number of accessions of both teosinte and maize to take a second look at the geography of the earliest cultivated maize. We found that gene flow between maize and its wild relatives meaningfully impacts our inference of geographic origins. By analyzing differentiation from inferred ancestral gene frequencies, we obtained results that are fully consistent with current ecological, archeological, and genetic data concerning the geography of early maize cultivation.
 </p></details><p></p>"
"2010",11,"<details>
    <summary> [Fine scale genetic structure in the wild ancestor of maize ( Zea mays ssp. parviglumis )](https://doi.org/10.1111/j.1365-294X.2010.04559.x)
 JOOST VAN HEERWAARDEN, JEFFREY ROSS-IBARRA, JOHN DOEBLEY, JEFFREY C. GLAUBITZ, JOSE DE JESÚS SÁNCHEZ GONZÁLEZ, BRANDON S. GAUT, LUIS E. EGUIARTE

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract unavailable.
 </p></details><p></p>"
"2009",6,"<details>
    <summary> [A First-Generation Haplotype Map of Maize](https://doi.org/10.1126/science.1177837)
 Michael A. Gore, Jer-Ming Chia, Robert J. Elshire, Qi Sun, ...[4 authors]..., George S. Grills, **Jeffrey Ross-Ibarra**, Doreen H. Ware, Edward S. Buckler

 </summary>  
    <p style=""""margin-left: 30px""""> 
 A-Maize-ing Maize is one of our oldest and most important crops, having been domesticated approximately 9000 years ago in central Mexico. Schnable et al. (p. 1112 ; see the cover) present the results of sequencing the B73 inbred maize line. The findings elucidate how maize became diploid after an ancestral doubling of its chromosomes and reveals transposable element movement and activity and recombination. Vielle-Calzada et al. (p. 1078 ) have sequenced the Palomero Toluqueño ( Palomero ) landrace, a highland popcorn from Mexico, which, when compared to the B73 line, reveals multiple loci impacted by domestication. Swanson-Wagner et al. (p. 1118 ) exploit possession of the genome to analyze expression differences occurring between lines. The identification of single nucleotide polymorphisms and copy number variations among lines was used by Gore et al. (p. 1115 ) to generate a Haplotype map of maize. While chromosomal diversity in maize is high, it is likely that recombination is the major force affecting the levels of heterozygosity in maize. The availability of the maize genome will help to guide future agricultural and biofuel applications (see the Perspective by Feuillet and Eversole ).
 </p></details><p></p>"
"2009",7,"<details>
    <summary> [Genetic diversity in a crop metapopulation](https://doi.org/10.1038/hdy.2009.110)
 J van Heerwaarden, F A van Eeuwijk, **J Ross-Ibarra**

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract unavailable.
 </p></details><p></p>"
"2009",8,"<details>
    <summary> [Selection on grain shattering genes and rates of rice domestication](https://doi.org/10.1111/j.1469-8137.2009.02984.x)
 Lin‐Bin Zhang, Qihui Zhu, Zhi‐Qiang Wu, Jeffrey Ross‐Ibarra, Brandon S. Gaut, Song Ge, Tao Sang

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract unavailable.
 </p></details><p></p>"
"2009",9,"<details>
    <summary> [Indel-Associated Mutation Rate Varies with Mating System in Flowering Plants](https://doi.org/10.1093/molbev/msp249)
 J. D. Hollister, **J. Ross-Ibarra**, B. S. Gaut

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract unavailable.
 </p></details><p></p>"
"2009",10,"<details>
    <summary> [Historical Divergence and Gene Flow in the Genus Zea](https://doi.org/10.1534/genetics.108.097238)
 **Jeffrey Ross-Ibarra**, Maud Tenaillon, Brandon S Gaut

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract Gene flow plays a fundamental role in plant evolutionary history, yet its role in population divergence—and ultimately speciation—remains poorly understood. We investigated gene flow and the modalities of divergence in the domesticate Zea mays ssp. mays and three wild Zea taxa using sequence polymorphism data from 26 nuclear loci. We described diversity across loci and assessed evidence for adaptive and purifying selection at nonsynonymous sites. For each of three divergence events in the history of these taxa, we used approximate Bayesian simulation to estimate population sizes and divergence times and explicitly compare among alternative models of divergence. Our estimates of divergence times are surprisingly consistent with previous data from other markers and suggest rapid diversification of lineages within Zea in the last ∼150,000 years. We found widespread evidence of historical gene flow, including evidence for divergence in the face of gene flow. We speculate that cultivated maize may serve as a bridge for gene flow among otherwise allopatric wild taxa.
 </p></details><p></p>"
"2009",11,"<details>
    <summary> [A Pleistocene Clone of Palmer's Oak Persisting in Southern California](https://doi.org/10.1371/journal.pone.0008346)
 Michael R. May, Mitchell C. Provance, Andrew C. Sanders, Norman C. Ellstrand, **Jeffrey Ross-Ibarra**

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract unavailable.
 </p></details><p></p>"
"2008",6,"<details>
    <summary> [Selection on Major Components of Angiosperm Genomes](https://doi.org/10.1126/science.1153586)
 Brandon S. Gaut, **Jeffrey Ross-Ibarra**

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Angiosperms are a relatively recent evolutionary innovation, but their genome sizes have diversified remarkably since their origin, at a rate beyond that of most other taxa. Genome size is often correlated with plant growth and ecology, and extremely large genomes may be limited both ecologically and evolutionarily. Yet the relationship between genome size and natural selection remains poorly understood. The manifold cellular and physiological effects of large genomes may be a function of selection on the major components that contribute to genome size, such as transposable elements and gene duplication. To understand the nature of selection on these genomic components, both population-genetic and comparative approaches are needed.
 </p></details><p></p>"
"2008",7,"<details>
    <summary> [Multiple domestications do not appear monophyletic](https://doi.org/10.1073/pnas.0809042105)
 **Jeffrey Ross-Ibarra**, Brandon S. Gaut

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract unavailable.
 </p></details><p></p>"
"2008",8,"<details>
    <summary> [Demography and weak selection drive patterns of transposable element diversity in natural populations of Arabidopsis lyrata](https://doi.org/10.1073/pnas.0804671105)
 Steven Lockton, **Jeffrey Ross-Ibarra**, Brandon S. Gaut

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Transposable elements (TEs) are the major component of most plant genomes, and characterizing their population dynamics is key to understanding plant genome complexity. Yet there have been few studies of TE population genetics in plant systems. To study the roles of selection, transposition, and demography in shaping TE population diversity, we generated a polymorphism dataset for six TE families in four populations of the flowering plant Arabidopsis lyrata . The TE data indicated significant differentiation among populations, and maximum likelihood procedures suggested weak selection. For strongly bottlenecked populations, the observed TE band-frequency spectra fit data simulated under neutral demographic models constructed from nucleotide polymorphism data. Overall, we propose that TEs are subjected to weak selection, the efficacy of which varies as a function of demographic factors. Thus, demographic effects could be a major factor driving distributions of TEs among plant lineages.
 </p></details><p></p>"
"2008",9,"<details>
    <summary> [Patterns of Polymorphism and Demographic History in Natural Populations of Arabidopsis lyrata](https://doi.org/10.1371/journal.pone.0002411)
 **Jeffrey Ross-Ibarra**, Stephen I. Wright, John Paul Foxe, Akira Kawabe, Leah DeRose-Wilson, Gesseca Gos, Deborah Charlesworth, Brandon S. Gaut

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract unavailable.
 </p></details><p></p>"
"2007",6,"<details>
    <summary> [Plant domestication, a unique opportunity to identify the genetic basis of adaptation](https://doi.org/10.1073/pnas.0700643104)
 **Jeffrey Ross-Ibarra**, Peter L. Morrell, Brandon S. Gaut

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Despite the fundamental role of plant domestication in human history and the critical importance of a relatively small number of crop plants to modern societies, we still know little about adaptation under domestication. Here we focus on efforts to identify the genes responsible for adaptation to domestication. We start from a historical perspective, arguing that Darwin's conceptualization of domestication and unconscious selection provides valuable insight into the evolutionary history of crops and also provides a framework to evaluate modern methods used to decipher the genetic mechanisms underlying phenotypic change. We then review these methods, framing the discussion in terms of the phenotype–genotype hierarchy. Top-down approaches, such as quantitative trait locus and linkage disequilibrium mapping, start with a phenotype of interest and use genetic analysis to identify candidate genes. Bottom-up approaches, alternatively, use population genetic analyses to identify potentially adaptive genes and then rely on standard bioinformatics and reverse genetic tools to connect selected genes to a phenotype. We discuss the successes, advantages, and challenges of each, but we conclude that bottom-up approaches to understanding domestication as an adaptive process hold greater promise both for the study of adaptation and as a means to identify genes that contribute to agronomically important traits.
 </p></details><p></p>"
"2006",6,"<details>
    <summary> [Genome size and recombination in angiosperms: a second look](https://doi.org/10.1111/j.1420-9101.2006.01275.x)
 J. ROSS‐IBARRA

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract Despite dramatic differences in genome size – and thus space for recombination to occur – previous workers found no correlation between recombination rate and genome size in flowering plants. Here I re‐investigate these claims using phylogenetic comparative methods to test a large data set of recombination data in angiosperms. I show that genome size is significantly correlated with recombination rate across a wide sampling of species and that change in genome size explains a meaningful proportion (∼20%) of variation in recombination rate. I show that the strength of this correlation is comparable with that of several characters previously linked to evolutionary change in recombination rate, but argue that consideration of processes of genome size change likely make the observed correlation a conservative estimate. And finally, although I find that recombination rate increases less than proportionally to change in genome size, several mechanistic and theoretical arguments suggest that this result is not unexpected.
 </p></details><p></p>"
"2005",6,"<details>
    <summary> [Quantitative trait loci and the study of plant domestication](https://doi.org/10.1007/s10709-004-2744-6)
 **Jeffrey Ross-Ibarra**

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract unavailable.
 </p></details><p></p>"
"2004",6,"<details>
    <summary> [The Evolution of Recombination under Domestication: A Test of Two Hypotheses](https://doi.org/10.1086/380606)
 Jeffrey Ross‐Ibarra

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract unavailable.
 </p></details><p></p>"
